Event Log

MAC Address,Prim. MAC Address,Channel,Type,Module (from),Module (to),Message,Time stamp
04:bf:6d:5e:26:7c,04:bf:6d:5e:26:7f,11 (2462 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""04:bf:6d:5e:26:7d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[10:cd:b6:00:ad:eb], frequencySetBy=10}",2019-03-06 15:44
b8:ec:a3:2f:bd:6c,b8:ec:a3:2f:bd:6f,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:6d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[dc:0b:34:c8:d7:54], frequencySetBy=10}",2019-03-06 15:23
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 15:16
b8:ec:a3:2f:bd:30,b8:ec:a3:2f:bd:33,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:31"" , ""channel"" : 153 , ""bandwidth"" : 80}], deassociateStaList=[48:4b:aa:af:cb:19], frequencySetBy=10}",2019-03-06 15:11
b8:ec:a3:2f:bd:15,b8:ec:a3:2f:bd:17,48 (5240 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{Frequency(MHz) Changed=5240 -> 5785, Transmit Power(dBm) Changed=16.0 -> 22.0}",2019-03-06 14:12
b8:ec:a3:2f:bd:15,b8:ec:a3:2f:bd:17,48 (5240 MHz),CHANNEL USAGE THRESHOLD EXCEEDED,RRM,RRM,"{Description=This event is triggered when out of BSS channel usage exceeds the specified threshold below, ap_manufacturer=ZyXEL_EMG2926, calculated_competitive_channel_usage=0.862, high_competitive_usage_threshold=0.75}",2019-03-06 14:12
b8:ec:a3:2f:bd:15,b8:ec:a3:2f:bd:17,48 (5240 MHz),CHANNEL USAGE THRESHOLD EXCEEDED,RRM,RRM,"{Description=This event is triggered when out of BSS channel usage exceeds the specified threshold below, ap_manufacturer=ZyXEL_EMG2926, calculated_competitive_channel_usage=0.862, high_competitive_usage_threshold=0.75}",2019-03-06 14:11
b8:ec:a3:2f:bd:15,b8:ec:a3:2f:bd:17,48 (5240 MHz),CHANNEL USAGE THRESHOLD EXCEEDED,RRM,RRM,"{Description=This event is triggered when out of BSS channel usage exceeds the specified threshold below, ap_manufacturer=ZyXEL_EMG2926, calculated_competitive_channel_usage=0.844, high_competitive_usage_threshold=0.75}",2019-03-06 14:11
b8:ec:a3:2f:bd:15,b8:ec:a3:2f:bd:17,48 (5240 MHz),CHANNEL USAGE THRESHOLD EXCEEDED,RRM,RRM,"{Description=This event is triggered when out of BSS channel usage exceeds the specified threshold below, ap_manufacturer=ZyXEL_EMG2926, calculated_competitive_channel_usage=0.844, high_competitive_usage_threshold=0.75}",2019-03-06 14:10
b8:ec:a3:2f:bd:38,b8:ec:a3:2f:bd:3b,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:39"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[c0:ee:fb:dd:2f:ed], frequencySetBy=10}",2019-03-06 13:56
b8:ec:a3:2f:bd:48,b8:ec:a3:2f:bd:4b,1 (2412 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:49"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[24:a0:74:0f:36:40], frequencySetBy=10}",2019-03-06 13:08
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 12:34
b8:ec:a3:2f:bd:6c,b8:ec:a3:2f:bd:6f,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:6d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[dc:0b:34:c8:d7:54], frequencySetBy=10}",2019-03-06 12:14
b8:ec:a3:2f:bd:6c,b8:ec:a3:2f:bd:6f,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""b8:ec:a3:2f:bd:6d"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[dc:0b:34:c8:d7:54], frequencySetBy=10}",2019-03-06 12:10
a0:e4:cb:fc:b4:ec,a0:e4:cb:fc:b4:ef,6 (2437 MHz),INFORM CS - MODIFY AP CONFIGURATION,RRM,CONFIG_SERVICE,"{candidateBssList=[{ ""bssid"" : ""a0:e4:cb:fc:b4:ed"" , ""channel"" : 149 , ""bandwidth"" : 80}], deassociateStaList=[34:12:f9:e8:4d:da], frequencySetBy=10}",2019-03-06 12:04
