Epoch(every hour),Managed AP - primary MAC,Band/Frequency,Zone,Pixel,# managed,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI,# unmanaged,# >-50 dBm,# >-62 dBm AND <=-50dBm,# >-80 dBm AND <=-62dBm,Average RSSI,Standard Deviation,Min RSSI,Max RSSI
1551848400,b8:ec:a3:2f:bd:4b,2412,Z_347_283_1,17377_14177_1,2,0,1,1,-64.49,10.50,-74.99,-53.99,12,0,1,8,-76.08,5.97,-82.00,-57.99
1551848400,b8:ec:a3:2f:bd:4b,5,Z_347_283_1,17377_14177_1,9,1,1,3,-71.77,13.73,-83.99,-41.99,56,0,1,15,-81.85,6.74,-89.00,-54.00
1551848400,b8:ec:a3:2f:bd:4b,5745,Z_347_283_1,17377_14177_1,2,0,0,1,-80.49,0.50,-80.99,-79.99,25,0,0,2,-85.15,3.13,-89.00,-74.99
1551848400,b8:ec:a3:2f:bd:4f,2.4,Z_347_283_1,17378_14174_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:4f,2412,Z_347_283_1,17378_14174_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:4f,5,Z_347_283_1,17378_14174_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:4f,5200,Z_347_283_1,17378_14174_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:53,2.4,Z_347_283_1,17381_14170_1,16,0,1,11,-71.57,6.83,-82.00,-60.64,33,0,1,20,-77.63,5.48,-86.00,-60.00
1551848400,b8:ec:a3:2f:bd:53,2462,Z_347_283_1,17381_14170_1,3,0,0,3,-72.66,4.78,-77.00,-66.00,23,0,1,14,-77.51,6.14,-86.00,-60.00
1551848400,b8:ec:a3:2f:bd:53,5,Z_347_283_1,17381_14170_1,17,0,4,4,-75.76,10.59,-86.99,-55.99,44,0,0,13,-80.97,7.47,-88.00,-62.00
1551848400,b8:ec:a3:2f:bd:53,5805,Z_347_283_1,17381_14170_1,2,0,0,1,-78.00,2.01,-80.00,-75.99,2,0,0,1,-81.50,5.50,-87.00,-76.00
1551848400,b8:ec:a3:2f:bd:57,2.4,Z_347_283_1,17363_14161_1,7,0,2,3,-68.84,12.36,-87.00,-50.68,19,1,0,10,-74.66,9.94,-84.00,-39.37
1551848400,b8:ec:a3:2f:bd:57,2437,Z_347_283_1,17363_14161_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:57,5,Z_347_283_1,17363_14161_1,17,0,1,6,-78.17,9.41,-87.99,-52.99,45,0,0,15,-80.66,6.06,-88.00,-65.00
1551848400,b8:ec:a3:2f:bd:57,5745,Z_347_283_1,17363_14161_1,3,0,0,1,-82.33,6.01,-87.99,-74.00,11,0,0,2,-82.36,2.90,-87.00,-76.00
1551848400,b8:ec:a3:2f:bd:5b,2.4,Z_347_283_1,17380_14171_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:5b,2462,Z_347_283_1,17380_14171_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:5b,5,Z_347_283_1,17380_14171_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
1551848400,b8:ec:a3:2f:bd:5b,5765,Z_347_283_1,17380_14171_1,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00
