dateTime,baseConfig,enabled,id,name,rrmConfig
2019-03-06 11:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 11:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 11:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 12:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 12:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 12:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 12:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 13:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 13:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 13:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 13:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 14:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 14:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 14:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 14:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 15:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 15:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 15:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 15:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 16:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 16:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 16:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 16:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 17:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 17:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 17:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 17:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
2019-03-06 18:45:01,0,,00000000-0000-0000-0000-000000000000,Default ClusterConfig,False
2019-03-06 18:45:01,0,,00000000-0000-0000-0000-0000balanced,Balanced,False
2019-03-06 18:45:01,2,,00000000-0000-0000-0000-00aggressive,Aggressive,False
2019-03-06 18:45:01,1,,00000000-0000-0000-0000-conservative,Conservative,False
